Strain	Type	Accension	Host1	Location	A0	Year	Subtype	Host2	Group
REF_JF312066_A_swine_Pennsylvania_A01076777_2010_H3N2_Swine_02A_2_2010_10_25	REF	JF312066	swine	Pennsylvania	A01076777	2010	H3N2	Swine	02A
REF_KC844211_A_swine_South_Dakota_A01349341_2013_H1N2_Swine_98A_2_2013_03_13	REF	KC844211	swine	SouthDakota	A01349341	2013	H1N2	Swine	98A
REF_KM013806_A_swine_South_Dakota_A01481702_2014_H1N2_Swine_02B_2_2014_06_06	REF	KM013806	swine	SouthDakota	A01481702	2014	H1N2	Swine	02B
REF_HM461852_A_swine_Texas_01976_2008_H1N2_Swine_98A_2_2008	REF	HM461852	swine	Texas	1976	2008	H1N2	Swine	98A
REF_JN652541_A_swine_Texas_A01049914_2011_H3N2_Swine_98A_2_2011_04_28	REF	JN652541	swine	Texas	A01049914	2011	H3N2	Swine	98A
REF_KC562196_A_swine_Wyoming_A01444562_2013_H3N2_Swine_02A_2_2013_01_13	REF	KC562196	swine	Wyoming	A01444562	2013	H3N2	Swine	02A
REF_EU139833_A_swine_Iowa_15_1930_H1N1_Swine_Classical_1930	REF	EU139833	swine	Iowa	15	1930	H1N1	Swine	Classical
REF_EU139834_A_swine_Iowa_1945_H1N1_Swine_Classical_1945	REF	EU139834	swine	Iowa		1945	H1N1	Swine	Classical
REF_EU139835_A_swine_Wisconsin_1_1968_H1N1_Swine_Classical_1968	REF	EU139835	swine	Wisconsin	1	1968	H1N1	Swine	Classical
REF_EU139836_A_swine_Iowa_1973_H1N1_Swine_Classical_1973	REF	EU139836	swine	Iowa		1973	H1N1	Swine	Classical
REF_CY095677_A_swine_Texas_4199_2_1998_H3N2_Swine_98B_1998	REF	CY095677	swine	Texas	4199	1998	H3N2	Swine	98B
REF_EU139837_A_swine_Minnesota_37866_1999_H1N1_Swine_Classical_1999	REF	EU139837	swine	Minnesota	37866	1999	H1N1	Swine	Classical
REF_CY098470_A_swine_Minnesota_1192_2001_H1N2_Swine_98_2001	REF	CY098470	swine	Minnesota	1192	2001	H1N2	Swine	
REF_EU139839_A_swine_North_Carolina_36883_2002_H1N1_Swine_Classical_2002	REF	EU139839	swine	NorthCarolina	36883	2002	H1N1	Swine	Classical
